violation_id,n_agents,manipulator,changed_other_agents,manipulator_assignment,truthful_manipulator_pref,misreport_manipulator_pref,truthful_profile,misreport_profile,truthful_allocation,misreport_allocation
58,3,1,"0,2",2,"{0,2} > {1}","{1,2} > {0}","A0: {1} > {0,2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
59,3,1,"0,2",2,"{0,2} > {1}",{2} > {1} > {0},"A0: {1} > {0,2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
60,3,1,"0,2",2,"{0,2} > {1}",{2} > {0} > {1},"A0: {1} > {0,2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
61,3,1,"0,2",2,{2} > {0} > {1},"{0,1,2}","A0: {1} > {0,2} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
62,3,1,"0,2",2,{2} > {0} > {1},"{0,2} > {1}","A0: {1} > {0,2} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
63,3,0,"1,2",2,{2} > {1} > {0},"{0,1,2}","A0: {2} > {1} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {0,1,2} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
64,3,0,"1,2",2,{2} > {1} > {0},"{1,2} > {0}","A0: {2} > {1} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {1,2} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
65,3,2,"0,1",1,"{0,1,2}","{1,2} > {0}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
66,3,2,"0,1",1,"{0,1,2}","{1} > {0,2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
67,3,2,"0,1",1,"{0,1,2}",{1} > {2} > {0},"A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1,2}",A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0},"A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
68,3,2,"0,1",1,"{0,1,2}",{1} > {0} > {2},"A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1,2}",A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
69,3,2,"0,1",1,"{0,1} > {2}","{1,2} > {0}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
70,3,2,"0,1",1,"{0,1} > {2}","{1} > {0,2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
71,3,2,"0,1",1,"{0,1} > {2}",{1} > {2} > {0},"A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1} > {2}",A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0},"A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
72,3,2,"0,1",1,"{0,1} > {2}",{1} > {0} > {2},"A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1} > {2}",A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
73,3,2,"0,1",1,"{1,2} > {0}","{0,1,2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
74,3,2,"0,1",1,"{1,2} > {0}","{0,1} > {2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
75,3,2,"0,1",1,"{1} > {0,2}","{0,1,2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
76,3,2,"0,1",1,"{1} > {0,2}","{0,1} > {2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
77,3,2,"0,1",1,{1} > {2} > {0},"{0,1,2}",A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0},"A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
78,3,2,"0,1",1,{1} > {2} > {0},"{0,1} > {2}",A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0},"A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
79,3,2,"0,1",1,{1} > {0} > {2},"{0,1,2}",A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
80,3,2,"0,1",1,{1} > {0} > {2},"{0,1} > {2}",A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0: {2} > {1} > {0} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
81,3,0,"1,2",2,{2} > {1} > {0},"{0,1,2}",A0: {2} > {1} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2},"A0: {0,1,2} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
82,3,0,"1,2",2,{2} > {1} > {0},"{1,2} > {0}",A0: {2} > {1} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2},"A0: {1,2} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
83,3,0,"1,2",2,{2} > {1} > {0},"{0,1,2}",A0: {2} > {1} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2},"A0: {0,1,2} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
84,3,0,"1,2",2,{2} > {1} > {0},"{1,2} > {0}",A0: {2} > {1} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2},"A0: {1,2} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
85,3,1,"0,2",2,"{0,1,2}","{2} > {0,1}","A0: {1} > {2} > {0} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0: {1} > {2} > {0} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
86,3,1,"0,2",2,"{0,1,2}","{1,2} > {0}","A0: {1} > {2} > {0} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0: {1} > {2} > {0} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
87,3,1,"0,2",2,"{0,1,2}",{2} > {1} > {0},"A0: {1} > {2} > {0} | A1: {0,1,2} | A2: {1} > {0} > {2}",A0: {1} > {2} > {0} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2},"A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
88,3,1,"0,2",2,"{0,1,2}",{2} > {0} > {1},"A0: {1} > {2} > {0} | A1: {0,1,2} | A2: {1} > {0} > {2}",A0: {1} > {2} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
89,3,1,"0,2",2,"{2} > {0,1}","{0,1,2}","A0: {1} > {2} > {0} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0: {1} > {2} > {0} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
90,3,1,"0,2",2,"{2} > {0,1}","{0,2} > {1}","A0: {1} > {2} > {0} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0: {1} > {2} > {0} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
91,3,1,"0,2",2,"{1,2} > {0}","{0,1,2}","A0: {1} > {2} > {0} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0: {1} > {2} > {0} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
92,3,1,"0,2",2,"{1,2} > {0}","{0,2} > {1}","A0: {1} > {2} > {0} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0: {1} > {2} > {0} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
93,3,1,"0,2",2,{2} > {1} > {0},"{0,1,2}",A0: {1} > {2} > {0} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2},"A0: {1} > {2} > {0} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
94,3,1,"0,2",2,{2} > {1} > {0},"{0,2} > {1}",A0: {1} > {2} > {0} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2},"A0: {1} > {2} > {0} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
95,3,1,"0,2",2,"{0,2} > {1}","{2} > {0,1}","A0: {1} > {2} > {0} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0: {1} > {2} > {0} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
96,3,1,"0,2",2,"{0,2} > {1}","{1,2} > {0}","A0: {1} > {2} > {0} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0: {1} > {2} > {0} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
97,3,1,"0,2",2,"{0,2} > {1}",{2} > {1} > {0},"A0: {1} > {2} > {0} | A1: {0,2} > {1} | A2: {1} > {0} > {2}",A0: {1} > {2} > {0} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2},"A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
98,3,1,"0,2",2,"{0,2} > {1}",{2} > {0} > {1},"A0: {1} > {2} > {0} | A1: {0,2} > {1} | A2: {1} > {0} > {2}",A0: {1} > {2} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
99,3,1,"0,2",2,{2} > {0} > {1},"{0,1,2}",A0: {1} > {2} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0: {1} > {2} > {0} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
100,3,1,"0,2",2,{2} > {0} > {1},"{0,2} > {1}",A0: {1} > {2} > {0} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0: {1} > {2} > {0} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
101,3,1,"0,2",2,"{0,1,2}","{2} > {0,1}","A0: {1} > {0} > {2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0: {1} > {0} > {2} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
102,3,1,"0,2",2,"{0,1,2}","{1,2} > {0}","A0: {1} > {0} > {2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0: {1} > {0} > {2} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
103,3,1,"0,2",2,"{0,1,2}",{2} > {1} > {0},"A0: {1} > {0} > {2} | A1: {0,1,2} | A2: {1} > {0} > {2}",A0: {1} > {0} > {2} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2},"A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
104,3,1,"0,2",2,"{0,1,2}",{2} > {0} > {1},"A0: {1} > {0} > {2} | A1: {0,1,2} | A2: {1} > {0} > {2}",A0: {1} > {0} > {2} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
105,3,1,"0,2",2,"{2} > {0,1}","{0,1,2}","A0: {1} > {0} > {2} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0: {1} > {0} > {2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
106,3,1,"0,2",2,"{2} > {0,1}","{0,2} > {1}","A0: {1} > {0} > {2} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0: {1} > {0} > {2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
107,3,1,"0,2",2,"{1,2} > {0}","{0,1,2}","A0: {1} > {0} > {2} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0: {1} > {0} > {2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
108,3,1,"0,2",2,"{1,2} > {0}","{0,2} > {1}","A0: {1} > {0} > {2} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0: {1} > {0} > {2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
109,3,1,"0,2",2,{2} > {1} > {0},"{0,1,2}",A0: {1} > {0} > {2} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2},"A0: {1} > {0} > {2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
110,3,1,"0,2",2,{2} > {1} > {0},"{0,2} > {1}",A0: {1} > {0} > {2} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2},"A0: {1} > {0} > {2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
111,3,1,"0,2",2,"{0,2} > {1}","{2} > {0,1}","A0: {1} > {0} > {2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0: {1} > {0} > {2} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
