violation_id,n_agents,manipulator,changed_other_agents,manipulator_assignment,truthful_manipulator_pref,misreport_manipulator_pref,truthful_profile,misreport_profile,truthful_allocation,misreport_allocation
132,3,2,"0,1",1,"{0,1} > {2}",{1} > {0} > {2},"A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}",A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
133,3,2,"0,1",1,"{1,2} > {0}","{0,1,2}","A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
134,3,2,"0,1",1,"{1,2} > {0}","{0,1} > {2}","A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
135,3,2,"0,1",1,"{1} > {0,2}","{0,1,2}","A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
136,3,2,"0,1",1,"{1} > {0,2}","{0,1} > {2}","A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
137,3,2,"0,1",1,{1} > {2} > {0},"{0,1,2}",A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0},"A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
138,3,2,"0,1",1,{1} > {2} > {0},"{0,1} > {2}",A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0},"A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
139,3,2,"0,1",1,{1} > {0} > {2},"{0,1,2}",A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
140,3,2,"0,1",1,{1} > {0} > {2},"{0,1} > {2}",A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2},"A0: {2} > {0} > {1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
141,3,0,"1,2",2,{2} > {0} > {1},"{0,1,2}",A0: {2} > {0} > {1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2},"A0: {0,1,2} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
142,3,0,"1,2",2,{2} > {0} > {1},"{1,2} > {0}",A0: {2} > {0} > {1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2},"A0: {1,2} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
143,3,0,"1,2",2,{2} > {0} > {1},"{0,1,2}",A0: {2} > {0} > {1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2},"A0: {0,1,2} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
144,3,0,"1,2",2,{2} > {0} > {1},"{1,2} > {0}",A0: {2} > {0} > {1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2},"A0: {1,2} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
